sample_name,sample_run,sample_path
tinygex,tiny_run,/idle/ric.cosr/ric.cosr/pedrini.edoardo/sample_data/test01/tinygex
tinygex2,tiny_run,/idle/ric.cosr/ric.cosr/pedrini.edoardo/sample_data/test01/tinygex2
